"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.605655542E0,7.653447520E-2,5.774140075E-2,-6.360601187E-3
3.615611542E0,1.053250733E-1,5.311493754E-2,-2.745852470E-2
3.625566542E0,1.253771035E-1,1.105606154E-2,-7.616290748E-2
3.635522542E0,6.651068933E-2,-2.178087831E-4,-7.525074184E-2
3.645478542E0,2.245126158E-2,6.412495226E-3,-5.613151610E-2
3.655433542E0,-1.030104895E-2,1.603408858E-2,-1.382983446E-2
3.665389542E0,4.240361048E-2,2.686400905E-2,4.134215355E-2
3.675345542E0,1.262537473E-1,4.120518252E-2,8.743984759E-2
3.685300542E0,1.526957610E-1,5.663481519E-2,1.381340379E-1
3.695256542E0,1.562004541E-1,4.933251992E-2,1.793990082E-1
3.705212542E0,1.295589865E-1,5.798946887E-2,1.605013919E-1
3.715167542E0,9.268242460E-2,5.060516641E-2,9.591480196E-2
3.725123542E0,6.395452876E-2,3.034120202E-2,1.535946608E-2
